MARCA;TIPO CAMBIO;COR;KM RODADOS;ANO FABRICACAO;PRECO
VOLKSWAGEN;MANUAL;BRANCO;54470;2011;7000
VOLKSWAGEN;MANUAL;VERDE;120000;2014;5400
VOLKSWAGEN;MANUAL;AZUL;30306;2012;4990
VOLKSWAGEN;MANUAL;BEGE;68000;2012;7800
VOLKSWAGEN;MANUAL;PRETO;100;2012;17990
VOLKSWAGEN;MANUAL;BRANCO;38000;2012;8500
VOLKSWAGEN;MANUAL;BEGE;10000;2011;15500
VOLKSWAGEN;MANUAL;BEGE;85000;2012;15000
VOLKSWAGEN;MANUAL;MARROM;128000;2011;9000
VOLKSWAGEN;MANUAL;BEGE;110000;2013;11500
VOLKSWAGEN;MANUAL;MARROM;229000;2013;10900
VOLKSWAGEN;MANUAL;VERDE;98000;2013;11500
VOLKSWAGEN;MANUAL;MARROM;5000;2013;18900
VOLKSWAGEN;MANUAL;BRANCO;98000;2013;5500
VOLKSWAGEN;MANUAL;BRANCO;45000;2011;7500
VOLKSWAGEN;MANUAL;PRATA;52000;2013;6990
VOLKSWAGEN;MANUAL;BEGE;104700;2013;22500
VOLKSWAGEN;MANUAL;CINZA;73000;2013;18600
VOLKSWAGEN;MANUAL;CINZA;82267;2013;7990
VOLKSWAGEN;MANUAL;BEGE;99000;2011;13000
VOLKSWAGEN;MANUAL;BEGE;145000;2014;14000
VOLKSWAGEN;MANUAL;MARROM;215513;2013;7500
VOLKSWAGEN;MANUAL;MARROM;60000;2013;9500
VOLKSWAGEN;MANUAL;VERMELHO;99800;2012;18500
VOLKSWAGEN;MANUAL;PRETO;90000;2011;23000
VOLKSWAGEN;MANUAL;AZUL;87000;2012;45900
VOLKSWAGEN;MANUAL;AZUL;72000;2012;52000
VOLKSWAGEN;MANUAL;AZUL;240000;2010;9500
VOLKSWAGEN;MANUAL;MARROM;11111;2012;6900
VOLKSWAGEN;MANUAL;VERDE;94000;2012;11500
VOLKSWAGEN;MANUAL;VERMELHO;95000;2011;6900
VOLKSWAGEN;MANUAL;VERMELHO;166000;2012;16900
VOLKSWAGEN;MANUAL;BEGE;70000;2013;13500
VOLKSWAGEN;MANUAL;PRATA;165000;2011;6900
VOLKSWAGEN;MANUAL;AZUL;160000;2011;8500
VOLKSWAGEN;MANUAL;VERMELHO;219022;2011;9900
VOLKSWAGEN;MANUAL;VERMELHO;220000;2012;7300
FIAT;MANUAL;VERMELHO;149300;2012;4990
FIAT;MANUAL;CINZA;144000;2012;6900
FIAT;MANUAL;INDEFINIDA;100;2011;5990
VOLKSWAGEN;MANUAL;PRETO;1000;2011;21500
HONDA;MANUAL;VERMELHO;65000;2011;15500
VOLKSWAGEN;AUTOMATICO;AZUL;40000;2011;9500
VOLKSWAGEN;MANUAL;PRATA;127500;2010;7500
VOLKSWAGEN;MANUAL;BRANCO;41789;2011;15500
VOLKSWAGEN;MANUAL;VERDE;20000;2011;14800
VOLKSWAGEN;MANUAL;PRATA;85555;2011;23000
VOLKSWAGEN;MANUAL;AZUL;110900;2010;11000
VOLKSWAGEN;MANUAL;BEGE;170030;2010;14300
VOLKSWAGEN;MANUAL;BEGE;126100;2013;7900
VOLKSWAGEN;MANUAL;VERMELHO;99999;2013;24990
VOLKSWAGEN;MANUAL;PRATA;128000;2013;28000
HONDA;MANUAL;PRETO;92000;2013;16500
HONDA;AUTOMATICO;PRETO;85000;2013;32000
VOLKSWAGEN;MANUAL;CINZA;100000;2014;7000
VOLKSWAGEN;MANUAL;BRANCO;100;2013;29900
VOLKSWAGEN;MANUAL;CINZA;45000;2013;11500
VOLKSWAGEN;MANUAL;PRETO;161000;2013;20000
VOLKSWAGEN;MANUAL;AMARELO;136000;2013;31000
FIAT;MANUAL;BRANCO;70000;2013;8900
HONDA;MANUAL;AZUL;120000;2013;13000
HONDA;AUTOMATICO;VERMELHO;130000;2013;9000
HONDA;AUTOMATICO;VERMELHO;101700;2013;44600
HONDA;AUTOMATICO;AZUL;121000;2013;15500
HONDA;AUTOMATICO;VERMELHO;130000;2013;17000
HONDA;AUTOMATICO;BRANCO;68000;2013;15800
HONDA;AUTOMATICO;AZUL;98000;2013;15500
HONDA;AUTOMATICO;PRETO;112000;2012;25000
HONDA;MANUAL;VERMELHO;157000;2012;18700
HONDA;MANUAL;BRANCO;35000;2011;47000
HONDA;MANUAL;PRETO;77262;2012;38000
HONDA;MANUAL;VERMELHO;101700;2011;44600
HONDA;MANUAL;VERMELHO;110280;2012;44990
HONDA;MANUAL;PRETO;70000;2012;38000
HONDA;MANUAL;PRETO;127000;2011;32000
VOLKSWAGEN;MANUAL;BRANCO;85000;2012;6900
VOLKSWAGEN;MANUAL;CINZA;60000;2012;18000
VOLKSWAGEN;MANUAL;CINZA;130000;2011;8500
VOLKSWAGEN;MANUAL;BRANCO;76000;2012;7500
VOLKSWAGEN;MANUAL;BRANCO;100000;2013;8000
VOLKSWAGEN;MANUAL;PRATA;78000;2013;6900
VOLKSWAGEN;MANUAL;PRATA;208000;2012;15000
VOLKSWAGEN;MANUAL;PRATA;3000;2013;11000
VOLKSWAGEN;MANUAL;VINHO;160000;2013;8500
VOLKSWAGEN;MANUAL;VINHO;92000;2013;15000
VOLKSWAGEN;MANUAL;VERMELHO;267000;2013;14000
VOLKSWAGEN;MANUAL;CINZA;2000;2013;31990
VOLKSWAGEN;MANUAL;VERMELHO;82000;2013;60000
VOLKSWAGEN;MANUAL;VERMELHO;109000;2013;38000
VOLKSWAGEN;MANUAL;AMARELO;125000;2013;30000
VOLKSWAGEN;MANUAL;BRANCO;178000;2013;28900
CHEVROLET;MANUAL;PRETO;148000;2013;42000
FIAT;AUTOMATICO;AZUL;150000;2013;6500
FIAT;MANUAL;CINZA;122500;2013;5000
FIAT;MANUAL;CINZA;550000;2013;7500
HONDA;MANUAL;AZUL;212000;2013;12500
HONDA;AUTOMATICO;BRANCO;210000;2013;14600
VOLKSWAGEN;MANUAL;AZUL;10000;2013;14900
VOLKSWAGEN;MANUAL;PRATA;99999;2013;9500
VOLKSWAGEN;MANUAL;BRANCO;180000;2013;7900
VOLKSWAGEN;MANUAL;PRATA;193000;2013;21980
VOLKSWAGEN;MANUAL;VINHO;179000;2013;26900
HONDA;MANUAL;VERDE;80000;2013;37900
HONDA;AUTOMATICO;AZUL;206483;2013;11499
HONDA;MANUAL;PRETO;169000;2013;12000
VOLKSWAGEN;MANUAL;AZUL;160;2013;7100
VOLKSWAGEN;MANUAL;BRANCO;95000;2012;7500
VOLKSWAGEN;MANUAL;BRANCO;100000;2013;6800
VOLKSWAGEN;MANUAL;BRANCO;111111;2014;5900
VOLKSWAGEN;MANUAL;AZUL;112000;2013;8500
VOLKSWAGEN;MANUAL;BRANCO;120000;2013;6800
VOLKSWAGEN;MANUAL;BEGE;122000;2013;8200
